document_name,sentence,label
08-Management-of-Sites-of-Cultural-Significance.txt,REGIONALSTRATEGYPLAN - SITESOFCULTURALSIGNIFICANCE 8.,other
08-Management-of-Sites-of-Cultural-Significance.txt,"MANAGEMENT OF SITES OF CULTURAL SIGNIFICANCE 8.01 General Policy The protection and conservation of land, features or buildings designated as Sites of Cultural Significancemust beensured.",other
08-Management-of-Sites-of-Cultural-Significance.txt,"8.02 Management of Sites of Cultural Significance The use, development, alteration or demolition of a site or feature, designated as a Site of Cultural Significance in Schedule 2, may only be allowed where it will be subject toaplanningpermit andwhereit is demonstratedthat: 飩凤€?the integrity and the special values of the site or feature will not be jeopardised; and 飩凤€?where relevant, advice pursuant to the provisions of the Archaeological and Aboriginal Relics Preservation Act 1972 (as amended) and/or the Historical Buildings Act 1981,has beenobtainedandhadregardto.",permit_related
08-Management-of-Sites-of-Cultural-Significance.txt,"Restoration of Sites of Cultural Significancemust beactivelyencouragedandall owners and occupiers of Sites of Cultural Significance must be informed of their site鈥檚 importanceandsignificance,andofthebest ways toconserveandprotect them.",other
08-Management-of-Sites-of-Cultural-Significance.txt,"Councils and other relevant bodies, such as theVictoriaArchaeological Survey,Historic Buildings Council and National Trust of Australia (Victoria), should be encouraged to identify and evaluate further Sites of Cultural Significance, and to develop and provide information and advisory services on the importance and significance of Sites of Cultural Significance,andon thebest ways toconserve,protect andmanagethem.",authority
08-Management-of-Sites-of-Cultural-Significance.txt,"8.03 Management of Sites of Cultural Significance on Public Land Sites of Cultural Significance located on Public Land must be conserved and be protected from any inappropriate land uses, works or undertakings, by ensuring that (where relevant) advice is obtained from the National Trust of Australia (Vic.), the Historic Buildings Council or the Victorian Archaeological Survey, prior to any works and undertakings on or in the vicinity of these sites or features, and no demolition or destruction of these sites or features occurs without the prior agreement of the Minister forPlanning.",authority
08-Management-of-Sites-of-Cultural-Significance.txt,"The identification of further Sites of Cultural Significance on Public Land within the Region must be encouraged, so that these sites, if they are significant, are not destroyed oradverselyaffected.",other
14-Manufacturing-and-Industry.txt,REGIONALSTRATEGYPLAN - MANUFACTURINGANDINDUSTRY 14.,other
14-Manufacturing-and-Industry.txt,"MANUFACTURING AND INDUSTRY 14.01 Regional Overview The Region has a small but well established industrial base consistingof manufacturing, processing, and service industries, which range from traditional industries servicing agricultureandsawmilling,todynamicindustries inhightechnology.",other
14-Manufacturing-and-Industry.txt,Over 60% of the Region's industrial establishments are located in the Lilydale area.,other
14-Manufacturing-and-Industry.txt,"With most of the activity concentrated in Kilsyth, Lilydale and Chirnside Park.",other
14-Manufacturing-and-Industry.txt,"These areas also have the largest amount of vacant industrial land, most of which however, is committedfordevelopment intheshort tomedium term.",other
14-Manufacturing-and-Industry.txt,"There are limited numbers of, and opportunities for, industrial establishments in Healesville,Woori YallockandWesburn(whichis partiallydeveloped).",other
14-Manufacturing-and-Industry.txt,"Traditionally, manufacturing industries have been regarded as a non-desirable activityin the Region.",other
14-Manufacturing-and-Industry.txt,"This perception, however is gradually changing for manyindustries, which through the use of high technology, sensitive designs and siting, have acquired alevel of public acceptance.",other
14-Manufacturing-and-Industry.txt,"It is important therefore that anynew industries to be attracted to the Region exhibit a high level of community acceptance, achieve compatibility with the environment andmaintenanceofamenity.",other
14-Manufacturing-and-Industry.txt,The Regional Strategy Plan promotes the need to develop a sustainable economy.,other
14-Manufacturing-and-Industry.txt,"Support needs to be given to the maintenance and growth of local enterprises within the agricultural, commercial, tourism and industrial areas, provided they are ecologically sustainable; maintain local amenity; and are accepted by the community at large as contributingtowards animprovement inlifestyles fortheRegion's residents.",other
14-Manufacturing-and-Industry.txt,"Despite the employment opportunities available within the Region, the outer eastern suburbs of Melbourne will continue to provide the major employment source for the Region鈥檚 residents.",other
14-Manufacturing-and-Industry.txt,"However, growth in employment will be closely linked to the changes occurringthroughtheincreasedprovisionoftertiaryeducationintheRegion.",other
14-Manufacturing-and-Industry.txt,"14.02 Primary Purpose The primary purpose for the manufacturing and industry policies is to control and coordinate the provision of land for industry, whilst providing for an increase in employment opportunities for local communities.",other
14-Manufacturing-and-Industry.txt,"At the same time it is intended to control the nature and scale of development so that environmental values such as flora, fauna, water quality and yields, air quality and landscape values are not adversely affected,andthat theresidential amenityoftheareais maintained.",other
14-Manufacturing-and-Industry.txt,"14.03 Existing industrial zones Industrywill be encouraged to locateinexistingIndustrial Zones and,wherepossible,to makemoreefficient useofvacant andpartlydevelopedland.",component
14-Manufacturing-and-Industry.txt,"In providing for industrial or manufacturing uses and development, planning authorities must ensurethat: 61.",other
14-Manufacturing-and-Industry.txt,"REGIONALSTRATEGYPLAN - MANUFACTURINGANDINDUSTRY 飩?areticulatedsewerageandwatersupplyis available; 飩?appropriate off-street parking, vehicular access and loading facilities are provided; 飩?the siting, design and appearance of buildings have minimal adverse impact on thesurroundinglandscape; 飩?all liquid and other wastes will be disposed of in an appropriate manner, and noise minimised, in accordance with the requirements of the Environment ProtectionAuthority,toensuretheprotectionoftheamenityofthearea; 飩?the safetyand amenityof residential areas near an industrial use are protected by controllingheavytrucktraffic; 飩?where applicable, large storage areas are separated from residential areas and screenedfrom publicview; 飩?wherever possible, industrial uses are grouped to ensure the economical provision,extensionandmaintenanceofutilities, and 飩?adequate provision is made for the landscaping of site and that appropriate controls are put in place to cover maximum building site coverage, and appropriateset backs toensureadequatelandscapingofsite.",authority
14-Manufacturing-and-Industry.txt,14.04 Additional land for industry Additional land for industry may be provided in appropriate areas in the Region in accordance with performance standards.,other
14-Manufacturing-and-Industry.txt,"Prior to land being rezoned for industrial or manufacturinguses, it must bedemonstratedthat: 飩?there is a need for such land in the area, and that the land proposed to be rezoned is both suitable and capable of supporting the industrial and/or manufacturing uses sought; 飩?therearenophysical and/orenvironmental constraints affectingtheland; 飩?noiseandodourdischarges will becontrolled,toprotect theamenityofadjoining areas, particularly any nearby residential areas, in accordance with standards approvedbytheE.P.A.",other
