document_name,term,definition,purpose_or_function,permit_related_information,authority_involved,related_components,source_section
01-Preface-to-Regional-Strategy-Plan.pdf,planning scheme,"1.05 More Restrictive Controls In the event that special local circumstances require more restrictive land use, development or subdivision management controls, a planning authoritymayincorporate such provisions through amendments to its planning scheme, provided that there is no overall conflict withthepolicies andobjectives oftheRegional StrategyPlan.",Controls land use and development.,Not specified,Not specified,planning scheme,1.05
01-Preface-to-Regional-Strategy-Plan.pdf,zone,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
01-Preface-to-Regional-Strategy-Plan.pdf,overlay,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
01-Preface-to-Regional-Strategy-Plan.pdf,planning permit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
01-Preface-to-Regional-Strategy-Plan.pdf,responsible authority,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
01-Preface-to-Regional-Strategy-Plan.pdf,planning authority,"1.05 More Restrictive Controls In the event that special local circumstances require more restrictive land use, development or subdivision management controls, a planning authoritymayincorporate such provisions through amendments to its planning scheme, provided that there is no overall conflict withthepolicies andobjectives oftheRegional StrategyPlan.",Prepares or amends the planning scheme.,Not specified,planning authority,planning scheme,1.05
01-Preface-to-Regional-Strategy-Plan.pdf,schedule,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
02-The-Region-and-Its-Future.pdf,planning scheme,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
02-The-Region-and-Its-Future.pdf,zone,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
02-The-Region-and-Its-Future.pdf,overlay,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
02-The-Region-and-Its-Future.pdf,planning permit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
02-The-Region-and-Its-Future.pdf,responsible authority,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
02-The-Region-and-Its-Future.pdf,planning authority,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
02-The-Region-and-Its-Future.pdf,schedule,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
03-Township-Policy-Areas-Policy-Areas.pdf,planning scheme,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
03-Township-Policy-Areas-Policy-Areas.pdf,zone,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
03-Township-Policy-Areas-Policy-Areas.pdf,overlay,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
03-Township-Policy-Areas-Policy-Areas.pdf,planning permit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
03-Township-Policy-Areas-Policy-Areas.pdf,responsible authority,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
